Región	Distrito	Municipio Escolar	Código	Escuela	Latitud	Longitud	Status	Nivel	Grado que ofrece	Montessori	Total M1Certificada	Total M1Activa	Estrellas	Puntuación	Clasificación ESSA	Tasa de Deserción	Teléfono	Dirección Física 	Pueblo	Estado	Zipcode	Email	Año_ID
Bayamón	Corozal	Naranjito	71340	S. U. Adolfo García	18.32437	-66.26702	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	313	316	2	38.1%	Targeted	0.90%	869-4008	Carr 165 Km 1 Hm 9 Bo Lomas	Naranjito	PR	7190000	D71340@de.pr.gov	2020-2021
Bayamón	Orocovis	Orocovis	12724	S. U. Ana Joaquina Ortíz Ortíz	18.21376	-66.35607	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	164	162	5	88.0%	Others	1.20%	867-2180	Carr 156 Km 6 Hm 2 Bo Botijas 2	Orocovis	PR	00720-0000	D12724@de.pr.gov	2020-2021
Bayamón	Orocovis	Orocovis	12518	S. U. Bonifacio Alvarado	18.17448	-66.43287	Abierta	Primario	K 1 2 3 4 5 6 7 8	No	175	171	4	70.6%	Others	0.00%	867-4633	Carr 143 Km 41 Hm 8 Bo Bermejales	Orocovis	PR	00720-0000	D12518@de.pr.gov	2020-2021
Bayamón	Orocovis	Orocovis	12716	S. U. Botijas I	18.24139	-66.36643	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	169	169	4	76.9%	Others	3.41%	867-2260	Carr 568 Km 5 Hm 5 Bo Botijas I	Orocovis	PR	00720-0000	D12716@de.pr.gov	2020-2021
Bayamón	Bayamón	Bayamón III	70334	S. U. Cacique Majagua	18.32943	-66.18746	Abierta	Primario	K 1 2 3 4 5 6 7 8	No	183	183	2	29.8%	Others	5.70%	797-5480	Carr 167 Ramal 829 Km 1.4 Bo Buena Vista	Bayamón	PR	9569676	D70334@de.pr.gov	2020-2021
Bayamón	Corozal	Corozal	71068	S. U. Demetrio Rivera	18.26875	-66.34011	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	294	295	3	56.7%	Others	0.67%	859-4111	Carr 802 Bo Palmarito	Corozal	PR	7830000	D71068@de.pr.gov	2020-2021
Bayamón	Orocovis	Morovis	12401	S. U. José R. Barreras	18.33573	-66.37341	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	285	298	2	38.5%	Others	2.93%	862-2814	Carr 159 Km 5 Hm 6	Morovis	PR	00687-0000	D12401@de.pr.gov	2020-2021
Bayamón	Corozal	Corozal	71035	S. U. Julián Marrero	18.32109	-66.29714	Abierta	Todos Los Niveles	K 1 2 3 4 5 6 7 8 EE EI ES	No	340	339	2	36.3%	Others	2.74%	859-3027	Carr 164 Km 14 Bo Palmarejo	Corozal	PR	7830000	D71035@de.pr.gov	2020-2021
Bayamón	Orocovis	Orocovis	12666	S. U. Matrullas	18.20073	-66.48761	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	138	139	2	38.5%	Others	0.00%	867-3966	Carr 564 Km 4 Hm 3 Bo Matrullas	Orocovis	PR	00720-0000	D12666@de.pr.gov	2020-2021
Bayamón	Corozal	Corozal	71050	S. U. Nicolás Rodríguez	18.32204	-66.34438	Abierta	Primario	PK K 1 2 3 4 5 6 7 8 EE EI	No	360	352	2	30.7%	Others	1.08%	859-3250	Carr 568 Km 30 Hm 1 Bo Padilla	Corozal	PR	7830000	D71050@de.pr.gov	2020-2021
Bayamón	Corozal	Naranjito	71357	S. U. Pedro Fernández	18.24762	-66.28345	Abierta	Primario	K 1 2 3 4 5 6 7 8	No	286	288	2	28.5%	Others	1.38%	869-4787	Carr 152 Km 10 Hm 5 Bo Cedro Arriba	Naranjito	PR	7190000	D71357@de.pr.gov	2020-2021
Bayamón	Orocovis	Orocovis	12765	S. U. Sanamuertos	18.23956	-66.40468	Abierta	Primario	K 1 2 3 4 5 6 7 8	No	250	253	4	62.6%	Others	1.56%	867-2870	Carr 157 Km 23 Bo Barros	Orocovis	PR	7202124	D12765@de.pr.gov	2020-2021
Bayamón	Bayamón	Bayamón II	70623	Tomas C. Ongay	18.37658	-66.14432	Abierta	Secundario	9 10 11 12 ES	No	752	719	2	26.7%	Others	7.40%	785-3414	Urb Industrial Minillas Carr 174	Bayamón	PR	9560000	D70623@de.pr.gov	2020-2021
Bayamón	Toa Baja	Toa Alta	77651	Tomás Maso Rivera  Morales	18.37363	-66.20931	Abierta	Secundario	9 10 11 12 ES	No	488	450	2	30.4%	Others	10.59%	799-3020	Carr 861 Km 5.5 Bo Piñas, Toa Alta	Toa Alta	PR	9540000	D77651@de.pr.gov	2020-2021
Bayamón	Bayamón	Bayamón II	70698	Troqueleria y Herramentaje	18.37647	-66.14497	Abierta	PS - Instituto	SHARED	No					N/A		786-1834	Carr 174 Calle C21 Urb Industrial Minillas	Bayamón	PR	9560000	D70698@de.pr.gov	2020-2021
Bayamón	Toa Baja	Toa Alta	71365	Violanta Jiménez	18.39035	-66.2475	Abierta	Primario	PK K 1 2 3 4 5 EE	No	295	312	2	35.3%	Others	1.86%	870-1378	Calle Profesora Adela Rolon Final	Toa Alta	PR	9530000	D71365@de.pr.gov	2020-2021
Bayamón	Bayamón	Bayamón I	70011	Virgilio Dávila	18.40566	-66.18798	Abierta	Primario	K 1 2 3 4 5 EE	No	256	260	3	54.9%	Others	1.87%	785-2378	Carr 864 Calle Hato Tejas	Bayamón	PR	9560000	D70011@de.pr.gov	2020-2021
Bayamón	Orocovis	Orocovis	12633	Visitación Pagán	18.26601	-66.39914	Abierta	Primario	K 1 2 3 4 5 EE	No	240	240	5	92.0%	Others	0.00%	867-5383	Carr 155 Km 34 Hm 1 Bo Gato	Orocovis	PR	00720-0000	D12633@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas I	20578	Abelardo Díaz Morales	18.23615	-66.01383	Abierta	Primario	K 1 2 3 4 5 PKEE EE	No	437	427	3	48.4%	Targeted	4.07%	743-9056	Urb. Santa Elvira Calle Santa Gertrudis	Caguas	PR	7250000	D20578@de.pr.gov	2020-2021
Caguas	Guayama	Arroyo	27714	Adalberto Sánchez Morales	17.98963	-66.05327	Abierta	Primario	PK K 1 2 3 4 5 EE	No	282	285	5	80.0%	Others	0.33%	271-2973	Bo Ancones	Arroyo	PR	7140000	D27714@de.pr.gov	2020-2021
Caguas	Guayama	Guayama	26336	Adela Brenes Texidor	17.95553	-66.16153	Abierta	Todos Los Niveles	6 7 8 9 10 11 12 ES	No	299	298	2	23.5%	Comprehensive	4.60%	864-7700	Carr 3 Km. 143 Hm 8	Guayama	PR	7840000	D26336@de.pr.gov	2020-2021
Caguas	Cidra	Aguas Buenas	20065	Alfonso López O'Neill	18.28765	-66.07612	Abierta	Primario	K 1 2 3 4 5	No	115	117	4	60.8%	Others	0.85%	747-5895	Carr 797 Km 2 Hm 4 Bo. Jagueyes Abajo	Aguas Buenas	PR	7030000	D20065@de.pr.gov	2020-2021
Caguas	Cidra	Cidra	26013	Ana J. Candelas	18.17064	-66.16219	Abierta	Secundario	9 10 11 12	No	273	262	1	19.9%	Comprehensive	1.42%	739-8070	Carr 171 Km 0 Hm 3 Bo Sud	Cidra	PR	7390000	D26013@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas I	26492	Antonio Domínguez Nieves	18.28626	-66.04754	Abierta	Todos Los Niveles	6 7 8 9 10 11 12 EI ES	No	373	367	2	34.8%	Others	6.48%	747-2026	Bo Rio Cañas Calle 1 Sect Reparto Solano	Caguas	PR	7250000	D26492@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas I	23440	Antonio S Paoli (Musica)	18.23582	-66.02826	Abierta	Todos Los Niveles	SHARED	No					N/A		746-6644	Ave Jose Villares Esq Rafael Cordero	Caguas	PR	7250000	D23440@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	20776	Antonio S. Pedreira (Pre-Tec)	18.2148	-66.04121	Abierta	Primario	6 7 8 EI	No	411	382	2	26.7%	Others	3.61%	743-4868	Calle 4 Urb. Villa Del Carmen	Caguas	PR	7250000	D20776@de.pr.gov	2020-2021
Caguas	Barranquitas	Barranquitas	20537	Antonio Vazquez Ramos - S. U. La Loma	18.1846671055673	-66.2774229888219	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	151	146	5	89.9%	Others	3.11%	857-3611	Carr 156 Km 20 Hm 1 Bo Quebrada Grande	Barranquitas	PR	7940000	D20537@de.pr.gov	2020-2021
Caguas	Cidra	Cayey	21097	Benigno Carrión	18.1151502051591	-66.1681002734817	Abierta	Primario	K 1 2 3 4 5	No	385	364	4	66.4%	Others	0.52%	738-3087	Calle Luis Barreras Final	Cayey	PR	7360000	D21097@de.pr.gov	2020-2021
Caguas	Cidra	Cayey	21089	Benigno Fernández García	18.11489	-66.16773	Abierta	Primario	6 7 8 EI	No	344	340	2	24.1%	Others	1.15%	738-2626	Calle Barbosa Final	Cayey	PR	7360000	D21089@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas I	20685	Benita González Quiñones	18.23555	-66.02191	Abierta	Primario	K 1 2 3 4 5 EE	No	202	199	4	67.2%	Others	1.90%	743-4467	Urb. Jose Delgado Calle 5	Caguas	PR	7250000	D20685@de.pr.gov	2020-2021
Caguas	Cidra	Cayey	21105	Benjamín Harrison	18.11429	-66.16996	Abierta	Secundario	9 10 11 12 ES	No	722	695	4	60.3%	Others	0.69%	738-2616	249 Ave Jose De Diego	Cayey	PR	7360000	D21105@de.pr.gov	2020-2021
Caguas	Barranquitas	Aibonito	27565	Bonifacio Sánchez Jiménez	18.1400123647611	-66.264681749068	Abierta	Secundario	9 10 11 12	Sí	311	294	2	31.4%	Others	0.32%	735-4631	Calle San Jose 119	Aibonito	PR	7050000	D27565@de.pr.gov	2020-2021
Caguas	Guayama	Arroyo	24687	Carmen Bozello de Huyke	17.9668313953091	-66.0629467430165	Abierta	Primario	PK K 1 2 3 4 5 6 7 8	No	416	411	5	92.4%	N/A	0.24%	839-2655	Frente Caserio Isidro Cora	Arroyo	PR	7140000	D24687@de.pr.gov	2020-2021
Caguas	Cidra	Aguas Buenas	20180	Carmen D. Ortíz Ortíz (S. U. Sumidero)	18.22399	-66.13132	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	547	540	2	34.9%	Others	1.94%	732-2530	Carr 173 Km7 Kh0 Bo Sumidero	Aguas Buenas	PR	7030000	D20180@de.pr.gov	2020-2021
Caguas	Cidra	Cayey	23887	Centro Adiestramiento Vocacional	18.11716	-66.15637	Abierta	Todos Los Niveles	EI ES	No	72	63	2	24.0%	Comprehensive	18.82%	263-1480	Ave Antonio R Barcelo Esq El Veterano	Cayey	PR	7360000	D23887@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	23259	Charles E. Miner	18.20853	-66.05572	Abierta	Primario	K 1 2 3 4 5	No	132	140	3	46.7%	Others	7.79%	744-7779	Urb Villa Nueva Calle 25	Caguas	PR	7250000	D23259@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	20727	Cipriano Manrique	18.17479	-66.04161	Abierta	Primario	K 1 2 3 4 5	No	172	170	5	89.2%	Others	0.57%	747-3600	Carr 765 Km3 Hm 1 Bo. Borinquen, Parcelas Viejas	Caguas	PR	7250000	D20727@de.pr.gov	2020-2021
Caguas	Barranquitas	Comerío	28100	Claudio Ferrer Cotto	18.21106	-66.23603	Abierta	Primario	K 1 2 3 4 5 EE	No	147	149	4	76.2%	Others	1.31%	875-3265	Carr 156 Urb Sabana Del Palmar 826 Palma Real	Comerío	PR	7824817	D28100@de.pr.gov	2020-2021
Caguas	Cidra	Cidra	21493	Clemencia Meléndez	18.16227	-66.19183	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	372	365	4	63.9%	Targeted	0.79%	739-8913	Carr 173 Km 7 Hm 9 Bo Rabanal	Cidra	PR	7390000	D21493@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	23143	Concepción Méndez Cano	18.21915	-66.05384	Abierta	Primario	K 1 2 3 4 5 EE	No	206	201	2	36.6%	Others	1.43%	744-3583	Urb Turabo Gardens Calle 25 2Da Secc	Caguas	PR	7250000	D23143@de.pr.gov	2020-2021
Caguas	Guayama	Salinas	52886	Coquí (Intermedia)	17.9715259845928	-66.2255594599884	Abierta	Primario	K 1 2 3 4 5 EE	No	216	224	5	86.5%	Others	0.85%	853-4800	Carr 3 Km 156 Hm 0 Bo Coqui	Salinas	PR	7510000	D52886@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas I	20735	Diego Vázquez	18.23283	-66.04072	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	165	157	3	46.4%	Others	0.56%	743-3695	Calle D Final Bda. Morales	Caguas	PR	7250000	D20735@de.pr.gov	2020-2021
Caguas	Guayama	Arroyo	26153	Dolores González	17.97405	-66.06448	Abierta	Primario	K 1 2 3 4 5 EE	No	130	132	3	45.4%	Others	3.47%	839-5177	Calle A Urb Jardines De Arroyo	Arroyo	PR	7140000	D26153@de.pr.gov	2020-2021
Caguas	Barranquitas	Aibonito	20362	Dr. José N. Gándara	18.13952	-66.26427	Abierta	Secundario	9 10 11 12 ES	No	480	454	2	27.5%	Others	4.73%	735-7290	315 Calle Degetau Sur	Aibonito	PR	7050000	D20362@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	20818	Dr. Juan José Osuna	18.20382	-66.05255	Abierta	Secundario	9 10 11 12 EI ES	No	261	250	2	20.8%	Others	6.69%	747-8629	Carr 1 Km 38 Hm 5, Bo. Turabo, Sector Villa Espera	Caguas	PR	7250000	D20818@de.pr.gov	2020-2021
Caguas	Cidra	Aguas Buenas	27540	Dr. Pedro Albizu Campos	18.25266	-66.10144	Abierta	Primario	6 7 8 EI	No	211	208	3	55.2%	Targeted	4.95%	732-1040	Carr 156 Ramal 794 Bo.Caguitas Sector Camino Verde	Aguas Buenas	PR	7030000	D27540@de.pr.gov	2020-2021
Caguas	Guayama	Guayama	24810	Dr. Rafael López Landrón	17.97951	-66.1176	Abierta	Todos Los Niveles	6 7 8 9 10 11 12 EI ES	No	501	468	1	17.0%	Others	7.10%	864-4366	Urb. Vives, Calle Paseo Del Pueblo	Guayama	PR	7840000	D24810@de.pr.gov	2020-2021
Caguas	Cidra	Cayey	25627	Dr. Ramón Emeterio Betances	18.11601	-66.15779	Abierta	Primario	6 7 8 EI	No	385	389	2	33.0%	Others	2.24%	738-3745	Ave Antonio R Barcelo	Cayey	PR	7360000	D25627@de.pr.gov	2020-2021
Caguas	Barranquitas	Aibonito	28076	Dra. Carmendelia Colón Martínez	18.15234	-66.3012	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	350	344	2	35.8%	Others	0.56%	991-0040	Carr 725 Barrio Llanos Sector El Juicio	Aibonito	PR	7050000	D28076@de.pr.gov	2020-2021
Caguas	Gurabo	Gurabo	26773	Dra. Conchita Cuevas	18.25141	-65.97458	Abierta	Secundario	9 10 11 12 ES	No	511	462	2	35.9%	Others	4.56%	737-2700	Pr 30 Int Pr 189 Ramal 9944	Gurabo	PR	7780000	D26773@de.pr.gov	2020-2021
Caguas	Guayama	Guayama	28563	Dra. María Socorro Lacot	17.972003	-66.0983187	Abierta	Secundario	9 10 11 12 EE ES	No	1135	1092	3	49.1%	Others	2.44%	(787) 866-8505	Ave Albizu Campos	Guayama	PR	7840000	D28563@de.pr.gov	2020-2021
Caguas	Cidra	Cidra	21576	Educación Bilingüe Luis Muñoz Iglesias	18.17855	-66.15972	Abierta	Todos Los Niveles	K 1 2 3 4 5 6 7 8 9 10 11 12	No	466	464	5	87.0%	Others	0.42%	739-2535	Urb Fernandez Calle  Luis Lugo Esq. Haddock	Cidra	PR	7390000	D21576@de.pr.gov	2020-2021
Caguas	Barranquitas	Barranquitas	20412	El Farallón	18.23878	-66.28919	Abierta	Primario	K 1 2 3 4 5	No	140	136	2	31.9%	Others	2.03%	857-2435	Carr 152 Km 7 Hm 6 Bo Quebradillas	Barranquitas	PR	7940000	D20412@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas I	25601	Eloisa Pascual	18.25417	-66.04178	Abierta	Secundario	9 10 11 12 ES	No	342	323	2	30.1%	Others	2.81%	745-0790	Res Bairoa Ave Astro Calle 11	Caguas	PR	7250000	D25601@de.pr.gov	2020-2021
Caguas	Cidra	Cayey	21188	Emérita León Elemental	18.10815	-66.16219	Abierta	Primario	PK K 1 2 3 4 5 6 PKM EE	Sí	369	373	4	73.3%	Others	0.77%	(787) 738-2410	Urb Villa Verde 118 Calle Luis Morales	Cayey	PR	7360000	D21188@de.pr.gov	2020-2021
Caguas	Cidra	Cidra	28555	Ernesto Vicente Carattini	18.2169812310127	-66.1654051994546	Abierta	Primario	K 1 2 3 4 5 6	No	184	181	3	57.2%	Others	1.60%	(787) 739-4360	Carr 782 Km 6 Hm 2 Bo Ceiba	Cidra	PR	7390000	D28555@de.pr.gov	2020-2021
Caguas	Barranquitas	Comerío	21832	Escuela Especializada de Béisbol-Manuel Cruz Maceira	18.214812277226	-66.2286856023161	Abierta	Secundario	9 10 11 12	No	94	90	3	50.6%	Others	0.00%	875-5806	Urb La Plata Calle 6 Bo Piñas Abajo	Comerío	PR	7820000	D21832@de.pr.gov	2020-2021
Caguas	Cidra	Cayey	22772	Especializada de Bellas Artes	18.116236	-66.167245	Abierta	Todos Los Niveles	7 8 9 10 11 12 ES	No	258	253	4	68.3%	Others	0.78%	(787) 738-3321	Desvio Matias Soto #57	Cayey	PR	7360000	D22772@de.pr.gov	2020-2021
Caguas	Guayama	Salinas	57281	Eugenio Guerra Cruz	18.03119	-66.23112	Abierta	Todos Los Niveles	7 8 9 10 11 12	No	298	289	3	54.8%	Others	3.55%	824-1534	Carr 712 Km 3 Hm 0 Bo Quebrada Yegua	Salinas	PR	7510000	D57281@de.pr.gov	2020-2021
Caguas	Barranquitas	Barranquitas	20552	Federico Degetau	18.18951	-66.34152	Abierta	Primario	K 1 2 3 4 5 6 7 8 EI	No	443	448	3	55.7%	Others	1.76%	857-0646	Carr 156 Km 11 Hm 4 Bo Palo Hincado	Barranquitas	PR	7940000	D20552@de.pr.gov	2020-2021
Caguas	Barranquitas	Aibonito	27599	Federico Degetau II	18.13952	-66.26427	Abierta	Primario	K 1 2 3 4 5 EE EI ES	No	274	264	3	50.7%	Others	5.32%	735-7628	Calle San Jose Esq. Ignacio Lopez	Aibonito	PR	7050000	D27599@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas I	25619	Felipe Rivera Centeno	18.24914	-66.02688	Abierta	Primario	6 7 8 EE	No	395	392	2	39.9%	Others	0.75%	746-5660	Urb Santa Juana Calle 1	Caguas	PR	7250000	D25619@de.pr.gov	2020-2021
Caguas	Guayama	Salinas	52795	Félix Garay Ortiz	18.00184	-66.26368	Abierta	Primario	K 1 2 3 4 5 EE	No	184	188	4	76.8%	Others	2.56%	824-4265	Calle Antonia Saez Bo Coco	Salinas	PR	7510000	D52795@de.pr.gov	2020-2021
Caguas	Guayama	Guayama	27318	Francisco García Boyrie	17.97575	-66.09809	Abierta	Primario	K 1 2 3 4 5 6 7 8 EI	No	386	385	2	39.2%	Targeted	1.01%	864-3879	Urb. Costa Azul Calle 9	Guayama	PR	7840000	D27318@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas I	21006	Francisco Valdés Rola	18.2919590889004	-66.0504219158097	Abierta	Primario	K 1 2 3 4 5 EE	No	161	159	3	43.5%	Others	0.61%	747-9464	Carr 798 Km 12 Hm 5 Bo. Rio Cañas	Caguas	PR	7250000	D21006@de.pr.gov	2020-2021
Caguas	Guayama	Guayama	24786	Génaro Cautiño	17.99037	-66.11254	Abierta	Todos Los Niveles	6 7 8 9 10 11 12	No	366	365	4	76.6%	Others	1.33%	866-4034	Calle Ashford Esq. San Agustin	Guayama	PR	7840000	D24786@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	23598	Gerardo Selles Solá	18.22684	-66.03575	Abierta	Todos Los Niveles	6 7 8 9 10 11 12	No	338	323	4	61.5%	Others	3.55%	743-3276	Ave Jose Mercado Urb El Verde	Caguas	PR	7250000	D23598@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	23119	Haydee Caballero	18.21488	-66.0533	Abierta	Primario	6 7 8 EI	No	206	208	2	37.9%	Comprehensive	2.79%	744-4575	Urb Villa Del Rey Calle 12 A 4Ta Secc	Caguas	PR	7250000	D23119@de.pr.gov	2020-2021
Caguas	Barranquitas	Comerío	23655	Inés María Mendoza	18.22601	-66.21714	Abierta	Primario	PK K 1 2 3 4 5 6	Sí	165	156	3	58.7%	Others	2.92%	875-2084	Carr 156 Km 26 Bo. Palomas Sector Manuel Espina	Comerío	PR	7820000	D23655@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	27078	Inés María Mendoza	18.21628	-66.0097	Abierta	Primario	K 1 2 3 4 5 EE	No	182	170	3	51.4%	Others	1.02%	(939) 418-9288	Urb Villas De Castro Calle 10 Esq 11	Caguas	PR	7250000	D27078@de.pr.gov	2020-2021
Caguas	Barranquitas	Barranquitas	20479	Inocencio Cintrón Zayas	18.24555	-66.31086	Abierta	Primario	PK K 1 2 3 4 5 6	Sí	158	159	3	49.0%	Others	2.91%	857-3581	Carr 771 Km 9 Hm 2 Sector Mana Abajo Bo Barranca	Barranquitas	PR	9740000	D20479@de.pr.gov	2020-2021
Caguas	Guayama	Guayama	27623	Instituto Tec Recinto De Guayama	17.97802	-66.11837	Abierta	PS - Instituto	SHARED	No					N/A		864-0354	Urb. Vives Bo Machete	Guayama	PR	7840000	D27623@de.pr.gov	2020-2021
Caguas	Barranquitas	Barranquitas	28456	Intermedia Bo. Quebradillas	18.234232	-66.285279	Abierta	Primario	K 1 2 3 4 5 6 7 8 EI	No	460	463	3	58.6%	Others	2.31%	(787) 857-7795	Carr 152 Km 7.5 Bo Quebradillas	Barranquitas	PR	7940000	D28456@de.pr.gov	2020-2021
Caguas	Cidra	Cidra	21550	Jesús T. Piñero	18.28231	-66.0579	Abierta	Todos Los Niveles	6 7 8 9 10 11 12 EEI EES EEA	No	456	447	4	79.6%	Others	1.31%	739-2481	Calle Jose De Diego Final, Salida Arenas	Cidra	PR	7390000	D21550@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas I	20784	Jesús T. Piñero	18.17438	-66.1591	Abierta	Primario	PK K 1 2 3 4 5	Sí	137	134	2	27.1%	Others	2.82%	747-1992	Carr 795 Km 0 Hm 2 Bo. La Barra	Caguas	PR	7250000	D20784@de.pr.gov	2020-2021
Caguas	Barranquitas	Barranquitas	20396	José Colón González	18.1799580028394	-66.294528360468	Abierta	Primario	K 1 2 3 4 5 6 7 EE	No	520	512	5	88.4%	Others	2.62%	857-3686	Carr 156 Km 17 Hm 7 Sector El Porton Bo Honduras	Barranquitas	PR	7940000	D20396@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	20800	José Gautier Benítez	18.22767	-66.03634	Abierta	Secundario	9 10 11 12 ES	No	497	475	2	37.0%	Comprehensive	3.85%	743-6101	Calle Gautier Benitez, Esq. Cristobal Colon	Caguas	PR	7250000	D20800@de.pr.gov	2020-2021
Caguas	Guayama	Arroyo	24752	José Horacio Cora	17.99222	-66.05509	Abierta	Primario	6 7 8 EI	No	215	211	2	25.9%	Additional Targeted	2.71%	839-4030	Carr 753 Km 2 Hm 2.2 Bda  Marin	Arroyo	PR	7140000	D24752@de.pr.gov	2020-2021
Caguas	Guayama	Arroyo	24661	José M. Massari	17.97133	-66.05954	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	221	226	1	13.9%	Others	0.83%	839-3140	Calle Morse #162	Arroyo	PR	7140000	D24661@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	20719	José Mercado	18.21861	-66.01573	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	204	207	4	71.4%	Others	5.19%	746-7860	Urb. Jose Mercado Calle Woodrow Wilson	Caguas	PR	7250000	D20719@de.pr.gov	2020-2021
Caguas	Guayama	Salinas	52894	José Padín	18.02498	-66.2512	Abierta	Primario	K 1 2 3 4 5	No	163	164	4	72.3%	Others	3.39%	824-7955	Carr 1 Km 83 Hm 0 Hacia Albergue Olimpico	Salinas	PR	7510000	D52894@de.pr.gov	2020-2021
Caguas	Barranquitas	Comerío	21758	Juana Colón	18.22355	-66.2187	Abierta	Secundario	9 10 11 12 ES	Sí	381	354	2	28.8%	Others	2.06%	875-2130	Carr 778 Bda. Pasarell. Sector Industrial	Comerío	PR	7820000	D21758@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	23515	Justina Vázquez Mendoza	18.21653	-66.03645	Abierta	Primario	K 1 2 3 4 5 EE	No	177	182	3	52.9%	Others	4.21%	743-6069	Urb Mariolga Calle San Antonio Esq San Jose	Caguas	PR	7250000	D23515@de.pr.gov	2020-2021
Caguas	Guayama	Salinas	52761	Las Mareas	17.9481	-66.26474	Abierta	Primario	K 1 2 3 4 5	No	105	110	2	38.4%	Others	0.90%	864-4727	Bo Las Mareas Calle Principal	Salinas	PR	7510000	D52761@de.pr.gov	2020-2021
Caguas	Barranquitas	Barranquitas	26021	Luis Muñoz Marín	18.1913743517888	-66.3076519476796	Abierta	Secundario	9 10 11 12	No	570	554	2	34.2%	Others	1.04%	857-3714	Calle A Sector Nuevo	Barranquitas	PR	7940000	D26021@de.pr.gov	2020-2021
Caguas	Barranquitas	Comerío	26005	Luis Muñoz Marín	18.21028	-66.22447	Abierta	Primario	6 7 8 EI	Sí	202	204	3	41.1%	Others	0.49%	875-3390	Carr.775 Ramal 7774 Km 0 Hm 4 Bo Piñas Sector La Mora	Comerío	PR	7820000	D26005@de.pr.gov	2020-2021
Caguas	Cidra	Aguas Buenas	25783	Luis Muñoz Marín	18.2526	-66.10552	Abierta	Primario	PK K 1 2 3 4 5 EE	No	239	241	3	53.2%	Targeted	0.81%	732-3521	Calle Monserrate Final Sector La Araña	Aguas Buenas	PR	7030000	D25783@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	20834	Luis Muñoz Rivera	18.2312	-66.03687	Abierta	Primario	K 1 2 3 4 5 EE	No	249	244	2	37.1%	Others	1.17%	743-2303	65 Final Calle Muñoz Rivera	Caguas	PR	7250000	D20834@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas II	20909	Luis Ramos González	18.22713	-66.03664	Abierta	Primario	6 7 8 EI	No	377	387	2	33.1%	Comprehensive	3.01%	258-2087	Ave Gautier Benitez Final	Caguas	PR	7250000	D20909@de.pr.gov	2020-2021
Caguas	Gurabo	Caguas I	21055	Manuela Toro Morice	18.24024	-66.02402	Abierta	Secundario	9 10 11 12	No	521	499	1	11.9%	Others	2.90%	744-2111	Urb. Caguas Norte 5 Calle Estanbur	Caguas	PR	7250000	D21055@de.pr.gov	2020-2021
Caguas	Gurabo	Gurabo	22053	Margarita Rivera de Janer	18.25695	-65.97421	Abierta	Primario	K 1 2 3 4 5 EE	No	411	409	3	40.1%	Others	3.94%	737-6594	Calle San Antonio	Gurabo	PR	7780000	D22053@de.pr.gov	2020-2021
Caguas	Gurabo	Gurabo	22012	Matías González García	18.25481	-65.97079	Abierta	Primario	6 7 8	No	455	454	2	26.4%	Others	3.14%	737-2056	Calle Andres Aruz Rivera Carr 189	Gurabo	PR	7780000	D22012@de.pr.gov	2020-2021
Caguas	Cidra	Cayey	23531	Miguel Meléndez Muñoz	18.116	-66.16099	Abierta	Secundario	9 10 11 12	No	520	516	2	32.7%	Others	2.51%	738-3078	Ave Antonio R Barcelo Frente Cuc	Cayey	PR	7360000	D23531@de.pr.gov	2020-2021
